Accession,Ploidy,Prop_Msi
PMS-074,2x,0.008
PMS-512,2x,0.016
PMS-458,4x,0.007
PMS-075,2x,0.035
PMS-076-7,2x,0.035
KMS-widespread,4x,0.068
PMS-071,2x,0.017
UI10-00008,2x,0.006
UI11-00031,2x,0
UI10-00117,4x,0.007
UI11-00005,4x,0.027
UI11-00027,4x,0
IGR-2011-005,4x,0
PMS-457,4x,0
UI10-00107,3x,0.425
PMS-070,2x,0.019
JY213,2x,0.001
JY053,2x,0
JY223,2x,0
JY203,2x,0
KMS384,2x,0.001
JY181,2x,0
JY186,4x,0.001
JY002,2x,0.996
JY244,2x,0
JY258,2x,0
JY259,2x,0
JY192,4x,0
JY235,2x,
JY247,2x,0
JY106,2x,0
JY128,2x,0
JY182,4x,0.009
JY234,2x,0
JY156,2x,0
JY217,2x,0.001
JY208,2x,0.001
JY202,2x,0
JY278,2x,0
JY009,4x,0
JY254,2x,0.003
JY238,2x,0
JM2014-H-1,,0.999
KMS408,4x,0.165
JY285,2x,0
JY107,2x,0
JM2014-S-4,3x,0.309
JY210,2x,0.003
KMS386,2x,0.002
JY123,2x,0
JY094,2x,0
JY093,2x,0
JY008,4x,0
KMS389,2x,0.305
JY127,4x,0.007
JY216,2x,0.002
JY257,2x,0
JY287,2x,0
JY284,2x,0
JY007,2x,0
JY105,2x,0
JY088,2x,0
JY180,3x,
JY289,2x,0
JY014,3x,0
JY211,2x,0.001
JY104,2x,0
KMS417,4x,0.404
blank-Msa51,,
JY006,4x,0
JY091,2x,0
JY129,4x,0.006
JY207,2x,0
JY092,2x,0.001
JY282,2x,
JY276,2x,0
JY204,2x,0.978
JY209,2x,0
JM2014-S-3,4x,0.261
JY255,2x,0
JY111,2x,0
JY142,2x,0
JY286,2x,0
JY200,2x,0
JY273,2x,0.004
JY100,2x,0
JY228,2x,0.001
JY218,2x,0.001
JM2014-M-3,4x,0.011
JY189,2x,0
JY288,2x,0
JY230,2x,0
JY096,2x,0
JY183,4x,0
JM2014-M-4,4x,0.007
JY178,4x,0.001
JM2014-H-68,4x,0
JM2014-H-11,4x,0
JM2014-H-41,4x,0
JPN-2010-009,4x,0.056
JY172,4x,0
JMShiraN24,4x,0.003
JY193,4x,0
JY143,4x,0
JPN-2010-014,4x,0.028
KMS419,4x,0.018
JY176,4x,0.001
JM2014-H-67,4x,0.001
JM2014-H-72,4x,0
JM2014-M-14,4x,0.011
JPN-2010-004,4x,0.026
JM2014-K-8,4x,0.067
JY141,4x,0
JPN-2011-012,4x,0.039
JPN-2011-004,4x,0.049
JM11-037,4x,0.017
JY185,4x,0.004
JM2014-H-24,4x,0
JPN-2011-019,4x,0.029
JY168,4x,0.005
JY166,4x,0.001
KMS423,4x,0.012
UI11-00007,4x,
UI11-00032,4x,0
JPN-2011-001,4x,0.019
JM1N24,4x,0
JM2014-H-23,4x,0.002
JPN-2011-023,4x,0.042
blank-Msa56a,,
JMMiyakonojoFSC,4x,0.01
JPN-2010-001,4x,0.057
UI11-00039,4x,0
JY165,4x,0
JM2014-H-52,4x,0
JY179,4x,0
JM2014-H-28,4x,0
KMS351,4x,0.034
KMS268,4x,0.021
JM2014-H-30,4x,0
JPN-2010-008,4x,0.042
KMS263,4x,0
KMS262,4x,0.279
JPN-2011-020,4x,0.025
JM2014-H-58,4x,0
JY162,4x,0.001
JM2014-S-6,4x,0.007
JY171,4x,0
KMS446,4x,0.384
JM2014-H-48,4x,0
JPN-2011-003,4x,0.02
KMS422,4x,0.255
JY126,4x,0
KMS451,4x,0.378
KMS329,4x,0.04
KMS468,4x,0
KMS400,4x,0.017
JM11-013,4x,0.235
JY134,4x,0.005
JY150,unknown,0.003
JPN-2011-013,4x,0.033
JM11-027,4x,0
JM2014-K-7,4x,0.254
KMS405,4x,0.026
JM2014-H-69,4x,0
JPN-2010-002,4x,0.011
JM2014-H-13,4x,0
JM11-019,4x,0
JPN-2010-012,4x,0.008
RU2012-055,4x,0
JM2014-H-42,4x,0
JPN-2010-010,4x,0.027
JPN-2011-011,4x,0.012
JM2014-H-77,4x,0.01
JPN-2011-025,4x,0.012
JPN-2010-005,4x,0.021
JMKikuchi1N24,4x,0.017
JM2014-M-5,4x,0.004
JM2014-H-27,4x,0
JM2014-H-25,4x,0
KMS448,4x,0.384
JM2014-S-2,4x,0.255
KMS399,4x,0.007
KMS257,4x,0
JM2014-S-5,4x,0.01
JPN-2011-002,4x,0.008
JM2014-H-22,4x,0
RU2012-023,4x,0
JPN-2011-022,4x,0.055
UI11-00037,4x,0
KMS324,4x,0.022
JM2014-H-19,4x,0
JM2014-M-7,4x,0.009
JPN-2010-015,4x,0.054
JM2014-H-3,4x,0.001
JM2014-M-2,4x,0.028
JM2014-H-44,4x,0
JY173,4x,0
JY140,4x,0
JM2014-H-16,4x,
JPN-2011-014,4x,0.005
JM11-040,4x,0
