"Query","Marker.name","Sbicolor_3"
"Chr01-001212421-top","MsaSorghum000246","Chr01-01259105-top"
"Chr02-001290106-bot","MsaSorghum000246","Chr01-01259105-top"
"Chr01-002344168-bot","MsaSorghum000358","Chr01-01738537-top"
"Chr02-002204028-top","MsaSorghum000358","Chr01-01738537-top"
"Chr01-002232313-bot","MsaSorghum000370","Chr01-01802696-top"
"Chr02-001055170-top","MsaSorghum000370","Chr01-01802696-top"
"Chr01-002228685-bot","MsaSorghum000374","Chr01-01806242-top"
"Chr02-001050461-bot","MsaSorghum000374","Chr01-01806242-top"
"Chr01-002415930-bot","MsaSorghum000375","Chr01-01813239-top"
"Chr02-001031160-bot","MsaSorghum000375","Chr01-01813239-top"
"Chr01-002401181-top","MsaSorghum000379","Chr01-01827822-bot"
"Chr02-001013920-top","MsaSorghum000379","Chr01-01827822-bot"
"Chr01-002400730-bot","MsaSorghum000380","Chr01-01828240-top"
"Chr02-001013465-bot","MsaSorghum000380","Chr01-01828240-top"
"Chr01-002400727-top","MsaSorghum000381","Chr01-01828243-bot"
"Chr02-001013462-top","MsaSorghum000381","Chr01-01828243-bot"
"Chr01-002431676-top","MsaSorghum000383","Chr01-01836781-top"
"Chr02-000997890-bot","MsaSorghum000383","Chr01-01836781-top"
"Chr01-002446466-bot","MsaSorghum000387","Chr01-01850835-bot"
"Chr02-000984002-top","MsaSorghum000387","Chr01-01850835-bot"
"Chr01-002449468-top","MsaSorghum000388","Chr01-01853437-top"
"Chr02-000980790-bot","MsaSorghum000388","Chr01-01853437-top"
"Chr01-002449471-bot","MsaSorghum000389","Chr01-01853440-bot"
"Chr02-000980787-top","MsaSorghum000389","Chr01-01853440-bot"
"Chr01-002498638-bot","MsaSorghum000391","Chr01-01859839-bot"
"Chr02-000974856-top","MsaSorghum000391","Chr01-01859839-bot"
"Chr01-002546753-top","MsaSorghum000394","Chr01-01888555-top"
"Chr02-000923246-bot","MsaSorghum000394","Chr01-01888555-top"
"Chr01-002549844-bot","MsaSorghum000396","Chr01-01891639-bot"
"Chr02-000920182-top","MsaSorghum000396","Chr01-01891639-bot"
"Chr01-002550455-top","MsaSorghum000397","Chr01-01892192-top"
"Chr02-000919050-bot","MsaSorghum000397","Chr01-01892192-top"
"Chr01-002597772-top","MsaSorghum000398","Chr01-01903068-top"
"Chr02-000823271-bot","MsaSorghum000398","Chr01-01903068-top"
"Chr01-002599104-top","MsaSorghum000399","Chr01-01904768-top"
"Chr02-000821635-bot","MsaSorghum000399","Chr01-01904768-top"
"Chr01-002601404-bot","MsaSorghum000401","Chr01-01907053-bot"
"Chr02-000819332-top","MsaSorghum000401","Chr01-01907053-bot"
"Chr01-002639998-top","MsaSorghum000405","Chr01-01929468-top"
"Chr02-000769244-bot","MsaSorghum000405","Chr01-01929468-top"
"Chr01-002640001-bot","MsaSorghum000406","Chr01-01929471-bot"
